Product_Name,Price,Rating,RnR,Page,Processor,RAM,Storage,Battery,Screen_size,Brand,Front_camera
"Infinix Smart 6 (Light Sea Green, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"Infinix Hot 12 (7° Purple, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",2,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"POCO M4 Pro (Cool Blue, 128 GB)",12999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",2,Mediatek Helio G96 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"REDMI 10 (Caribbean Green, 64 GB)",9999.0,4.3,"1,79,756 Ratings & 11,713 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium Polymer Battery,"['17.02 cm', '6.7 inch']",4, 5MP Front
"POCO M4 Pro (Cool Blue, 64 GB)",11999.0,4.3,"1,43,075 Ratings & 12,956 Reviews",2,Mediatek Helio G96 Processor,6 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",6, 16MP Front
"OPPO Reno8T 5G (Midnight Black, 128 GB)",29999.0,,,2,Qualcomm Snapdragon 695 Processor,8 GB RAM, 128 GB ROM,4800 mAh Lithium-ion Polymer Battery,"['17.02 cm', '6.7 inch']",8, 32MP Front
"POCO M4 Pro (Power Black, 128 GB)",13999.0,4.3,"13,407 Ratings & 1,179 Reviews",2,Mediatek Helio G96 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",8, 16MP Front
"Infinix Hot 12 (Exploratory Blue, 64 GB)",8499.0,4.3,"16,926 Ratings & 1,229 Reviews",2,Meditek Helio G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",29999.0,,,2,Qualcomm Snapdragon 695 Processor,8 GB RAM, 128 GB ROM,4800 mAh Lithium-ion Polymer Battery,"['17.02 cm', '6.7 inch']",8, 32MP Front
"POCO M4 Pro 5G (Cool Blue, 64 GB)",12999.0,4.3,"37,804 Ratings & 3,335 Reviews",2,Mediatek Dimensity 810 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",4, 16MP Front
"Infinix Smart 6 (Polar Black, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"POCO M4 5G (Cool Blue, 128 GB)",13999.0,4.2,"25,141 Ratings & 2,043 Reviews",2,Mediatek Dimensity 700 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",6, 8MP Front
"Infinix Smart 6 (Heart Of Ocean, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",2,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
